koda_letalisce,ime
ZAD,Zadar Airport
ABC,Albacete-Los Llanos Airport
ALC,Alicante International Airport
LEI,Almería International Airport
OVD,Asturias Airport
ODB,Córdoba Airport
BIO,Bilbao Airport
BCN,Barcelona International Airport
BJZ,Badajoz Airport
LCG,A Coruña Airport
GRO,Girona Airport
GRX,Federico Garcia Lorca Airport
IBZ,Ibiza Airport
XRY,Jerez Airport
MJV,San Javier Airport
MAD,Adolfo Suárez Madrid–Barajas Airport
AGP,Málaga Airport
MAH,Menorca Airport
OZP,Moron Air Base
PNA,Pamplona Airport
REU,Reus Air Base
ROZ,Rota Naval Station Airport
SLM,Salamanca Airport
EAS,San Sebastian Airport
SCQ,Santiago de Compostela Airport
LEU,Pirineus - la Seu d'Urgel Airport
TOJ,Torrejón Airport
VLC,Valencia Airport
VLL,Valladolid Airport
VIT,Vitoria/Foronda Airport
VGO,Vigo Airport
SDR,Santander Airport
ZAZ,Zaragoza Air Base
SVQ,Sevilla Airport
CQF,Calais-Dunkerque Airport
BYF,Albert-Bray Airport
LTQ,Le Touquet-Côte d'Opale Airport
XVS,Valenciennes-Denain Airport
AGF,Agen-La Garenne Airport
BOD,Bordeaux-Mérignac Airport
EGC,Bergerac-Roumanière Airport
CNG,Cognac-Châteaubernard (BA 709) Air Base
PIS,Poitiers-Biard Airport
MCU,Montluçon-Guéret Airport
LIG,Limoges Airport
NIT,Niort-Souché Airport
TLS,Toulouse-Blagnac Airport
PUF,Pau Pyrénées Airport
LDE,Tarbes-Lourdes-Pyrénées Airport
ANG,Angoulême-Brie-Champniers Airport
BVE,Brive Souillac Airport
PGX,Périgueux-Bassillac Airport
BIQ,Biarritz-Anglet-Bayonne Airport
ZAO,Cahors-Lalbenque Airport
LBI,Albi-Le Séquestre Airport
DCM,Castres-Mazamet Airport
RDZ,Rodez-Marcillac Airport
RYN,Royan-Médis Airport
XMW,Montauban Airport
RCO,Rochefort-Saint-Agnant (BA 721) Airport
CMR,Colmar-Houssen Airport
DLE,Dole-Tavaux Airport
OBS,Aubenas-Ardèche Méridional Airport
LPY,Le Puy-Loudes Airport
ETZ,Metz-Nancy-Lorraine Airport
BIA,Bastia-Poretta Airport
CLY,Calvi-Sainte-Catherine Airport
FSC,Figari Sud-Corse Airport
AJA,Ajaccio-Napoléon Bonaparte Airport
PRP,Propriano Airport
SOZ,Solenzara (BA 126) Air Base
AUF,Auxerre-Branches Airport
CMF,Chambéry-Savoie Airport
CFE,Clermont-Ferrand Auvergne Airport
BOU,Bourges Airport
QNJ,Annemasse Airport
LYS,Lyon Saint-Exupéry Airport
SYT,Saint-Yan Airport
RNE,Roanne-Renaison Airport
NCY,Annecy-Haute-Savoie-Mont Blanc Airport
GNB,Grenoble-Isère Airport
VAF,Valence-Chabeuil Airport
VHY,Vichy-Charmeil Airport
AUR,Aurillac Airport
CHR,"Châteauroux-Déols ""Marcel Dassault"" Airport"
LYN,Lyon-Bron Airport
CEQ,Cannes-Mandelieu Airport
EBU,Saint-Étienne-Bouthéon Airport
CCF,Carcassonne Airport
MRS,Marseille Provence Airport
NCE,Nice-Côte d'Azur Airport
XOG,Orange-Caritat (BA 115) Air Base
PGF,Perpignan-Rivesaltes (Llabanère) Airport
CTT,Le Castellet Airport
MPL,Montpellier-Méditerranée Airport
BZR,Béziers-Vias Airport
AVN,Avignon-Caumont Airport
MEN,Mende-Brenoux Airfield
BVA,Paris Beauvais Tillé Airport
EVX,Évreux-Fauville (BA 105) Air Base
LEH,Le Havre Octeville Airport
XAB,Abbeville
ORE,Orléans-Bricy (BA 123) Air Base
XCR,Châlons-Vatry Airport
URO,Rouen Airport
TUF,Tours-Val-de-Loire Airport
CET,Cholet Le Pontreau Airport
LVA,Laval-Entrammes Airport
LBG,Paris-Le Bourget Airport
CSF,Creil Air Base
CDG,Charles de Gaulle International Airport
TNF,Toussus-le-Noble Airport
ORY,Paris-Orly Airport
POX,Pontoise - Cormeilles-en-Vexin Airport
VIY,Villacoublay-Vélizy (BA 107) Air Base
NVS,Nevers-Fourchambault Airport
XME,Maubeuge-Élesmes Airport
LIL,Lille-Lesquin Airport
HZB,Merville-Calonne Airport
XCZ,Charleville-Mézières Airport
BES,Brest Bretagne Airport
CER,Cherbourg-Maupertus Airport
DNR,Dinard-Pleurtuit-Saint-Malo Airport
LBY,La Baule-Escoublac Airport
GFR,Granville Airport
DOL,Deauville-Saint-Gatien Airport
LRT,Lorient South Brittany (Bretagne Sud) Airport
EDM,La Roche-sur-Yon Airport
LDV,Landivisiau Air Base
CFR,Caen-Carpiquet Airport
LME,Le Mans-Arnage Airport
RNS,Rennes-Saint-Jacques Airport
LAI,Lannion-Côte de Granit Airport
UIP,Quimper-Cornouaille Airport
NTE,Nantes Atlantique Airport
SBK,Saint-Brieuc-Armor Airport
MXN,Morlaix-Ploujean Airport
VNE,Vannes-Meucon Airport
SNR,Saint-Nazaire-Montoir Airport
BSL,EuroAirport Basel-Mulhouse-Freiburg Airport
DIJ,Dijon-Bourgogne Airport
MZM,Metz-Frescaty (BA 128) Air Base
EPL,Épinal-Mirecourt Airport
ENC,Nancy-Essey Airport
RHE,Reims-Champagne (BA 112) Air Base
SXB,Strasbourg Airport
TLN,Toulon-Hyères Airport
FNI,Nîmes-Arles-Camargue Airport
MQC,Miquelon Airport
FSP,St Pierre Airport
PYR,Andravida Air Base
AGQ,Agrinion Air Base
AXD,Dimokritos Airport
VOL,Nea Anchialos Airport
JKH,Chios Island National Airport
IOA,Ioannina Airport
HER,Heraklion International Nikos Kazantzakis Airport
KSO,Kastoria National Airport
KIT,Kithira Airport
EFL,Kefallinia Airport
KLX,Kalamata Airport
KGS,Kos Airport
AOK,Karpathos Airport
CFU,Ioannis Kapodistrias International Airport
KSJ,Kasos Airport
KVA,Alexander the Great International Airport
KZI,Filippos Airport
LRS,Leros Airport
LXS,Limnos Airport
LRA,Larisa Airport
JMK,Mikonos Airport
MJT,Mytilene International Airport
PVK,Aktion National Airport
RHO,Diagoras Airport
GPA,Araxos Airport
CHQ,Chania International Airport
JSI,Skiathos Island National Airport
SMI,Samos Airport
SPJ,Sparti Airport
JTR,Santorini Airport
JSH,Sitia Airport
SKU,Skiros Airport
SKG,Thessaloniki Macedonia International Airport
ZTH,"Zakynthos International Airport ""Dionysios Solomos"""
BUD,Budapest Liszt Ferenc International Airport
DEB,Debrecen International Airport
CRV,Crotone Airport
BRI,Bari Karol Wojtyła Airport
FOG,"Foggia ""Gino Lisa"" Airport"
TAR,"Taranto-Grottaglie ""Marcello Arlotta"" Airport"
LCC,Lecce Galatina Air Base
PSR,Pescara International Airport
BDS,Brindisi – Salento Airport
SUF,Lamezia Terme Airport
CTA,Catania-Fontanarossa Airport
LMP,Lampedusa Airport
PNL,Pantelleria Airport
PMO,Falcone–Borsellino Airport
REG,Reggio Calabria Airport
TPS,Vincenzo Florio Airport Trapani-Birgi
NSY,Sigonella Navy Air Base
AHO,Alghero-Fertilia Airport
DCI,Decimomannu Air Base
CAG,Cagliari Elmas Airport
OLB,Olbia Costa Smeralda Airport
TTB,Tortolì Airport
MXP,Malpensa International Airport
BGY,Il Caravaggio International Airport
TRN,Turin Airport
ALL,Villanova D'Albenga International Airport
GOA,Genoa Cristoforo Colombo Airport
LIN,Milano Linate Airport
PMF,Parma Airport
CUF,Cuneo International Airport
AVB,Aviano Air Base
BZO,Bolzano Airport
BLQ,Bologna Guglielmo Marconi Airport
TSF,Treviso-Sant'Angelo Airport
FRL,Forlì Airport
VBS,Brescia Airport
TRS,Trieste–Friuli Venezia Giulia Airport
RMI,Federico Fellini International Airport
VIC,Vicenza Airport
QPA,Padova Airport
VRN,Verona Villafranca Airport
VCE,Venice Marco Polo Airport
SAY,Siena-Ampugnano Airport
CIA,Ciampino–G. B. Pastine International Airport
FCO,Leonardo da Vinci–Fiumicino Airport
EBA,Marina Di Campo Airport
QLT,Latina Air Base
NAP,Naples International Airport
PSA,Pisa International Airport
FLR,Peretola Airport
GRS,Grosseto Air Base
PEG,Perugia San Francesco d'Assisi – Umbria International Airport
LJU,Ljubljana Jože Pučnik Airport
MBX,Maribor Airport
POW,Portoroz Airport
UHE,Kunovice Airport
KLV,Karlovy Vary International Airport
OSR,Ostrava Leos Janáček Airport
PED,Pardubice Airport
PRV,Přerov Air Base
PRG,Václav Havel Airport Prague
BRQ,Brno-Tuřany Airport
VOD,Vodochody Airport
TLV,Ben Gurion International Airport
BEV,Beersheba (Teyman) Airport
ETH,Eilat Airport
EIY,Ein Yahav Airfield
HFA,Haifa International Airport
RPN,Ben Ya'akov Airport
MTZ,Bar Yehuda Airfield
VTM,Nevatim Air Base
VDA,Ovda International Airport
MIP,Ramon Air Base
SDV,Sde Dov Airport
MLA,Malta International Airport
GRZ,Graz Airport
INN,Innsbruck Airport
LNZ,Linz Hörsching Airport
SZG,Salzburg Airport
VIE,Vienna International Airport
AVR,Alverca Air Base
SMA,Santa Maria Airport
BGC,Bragança Airport
BYJ,Beja Airport / Airbase
BGZ,Braga Municipal Aerodrome
CAT,Cascais Airport
FLW,Flores Airport
FAO,Faro Airport
GRW,Graciosa Airport
HOR,Horta Airport
TER,Lajes Airport
QLR,Monte Real Air Base
PDL,João Paulo II Airport
PIX,Pico Airport
PRM,Portimão Airport
OPO,Francisco de Sá Carneiro Airport
PXO,Porto Santo Airport
LIS,Humberto Delgado Airport (Lisbon Portela Airport)
SJZ,São Jorge Airport
VRL,Vila Real Airport
VSE,Aerodromo Goncalves Lobato (Viseu Airport)
OMO,Mostar International Airport
SJJ,Sarajevo International Airport
ARW,Arad International Airport
BCM,Bacău Airport
BAY,Tautii Magheraus Airport
BBU,Băneasa International Airport
CND,Mihail Kogălniceanu International Airport
CLJ,Cluj-Napoca International Airport
CSB,Caransebeş Airport
CRA,Craiova Airport
IAS,Iaşi Airport
OMR,Oradea International Airport
OTP,Henri Coandă International Airport
SBZ,Sibiu International Airport
SUJ,Satu Mare Airport
SCV,Suceava Stefan cel Mare Airport
TCE,Tulcea Airport
TGM,Transilvania Târgu Mureş International Airport
TSR,Timişoara Traian Vuia Airport
GVA,Geneva Cointrin International Airport
SIR,Sion Airport
EML,Emmen Air Base
LUG,Lugano Airport
BRN,Bern Belp Airport
ZHI,Grenchen Airport
ZRH,Zürich Airport
ACH,St Gallen Altenrhein Airport
SMV,Samedan Airport
ESB,Esenboğa International Airport
ANK,Etimesgut Air Base
ADA,Adana Airport
UAB,İncirlik Air Base
AFY,Afyon Airport
AYT,Antalya International Airport
GZT,Gaziantep International Airport
KYA,Konya Airport
MZH,Amasya Merzifon Airport
VAS,Sivas Nuri Demirağ Airport
MLX,Malatya Erhaç Airport
ASR,Kayseri Erkilet Airport
TJK,Tokat Airport
DNZ,Çardak Airport
ISL,Atatürk International Airport
BZI,Balıkesir Merkez Airport
BDM,Bandırma Airport
ESK,Eskişehir Air Base
ADB,Adnan Menderes International Airport
IGL,Çiğli Airport
KCO,Cengiz Topel Airport
DLM,Dalaman International Airport
BXN,Imsık Airport
EZS,Elazığ Airport
DIY,Diyarbakir Airport
ERC,Erzincan Airport
ERZ,Erzurum International Airport
TZX,Trabzon International Airport
VAN,Van Ferit Melen Airport
BAL,Batman Airport
SXZ,Siirt Airport
BZY,Bălți International Airport
KIV,Chişinău International Airport
OHD,Ohrid St. Paul the Apostle Airport
SKP,Skopje Alexander the Great Airport
GIB,Gibraltar Airport
BEG,Belgrade Nikola Tesla Airport
INI,Nis Airport
TGD,Podgorica Airport
PRN,Priština International Airport
TIV,Tivat Airport
BTS,M. R. Štefánik Airport
KSC,Košice Airport
PZY,Piešťany Airport
SLD,Sliač Airport
TAT,Poprad-Tatry Airport
NCA,North Caicos Airport
PLS,Providenciales Airport
XSC,South Caicos Airport
BRX,Maria Montez International Airport
CBJ,Cabo Rojo Airport
LRM,Casa De Campo International Airport
PUJ,Punta Cana International Airport
POP,Gregorio Luperon International Airport
SDQ,Las Américas International Airport
STI,Cibao International Airport
CBV,Coban Airport
GUA,La Aurora Airport
RER,Retalhuleu Airport
GSJ,San José Airport
LCE,Goloson International Airport
SAP,Ramón Villeda Morales International Airport
GJA,La Laguna Airport
RTB,Juan Manuel Galvez International Airport
TEA,Tela Airport
TGU,Toncontín International Airport
TJI,Trujillo Airport
OCJ,Boscobel Aerodrome
KIN,Norman Manley International Airport
MBJ,Sangster International Airport
POT,Ken Jones Airport
KTP,Tinson Pen Airport
ACA,General Juan N Alvarez International Airport
NTR,Del Norte International Airport
AGU,Jesús Terán Paredo International Airport
HUX,Bahías de Huatulco International Airport
CVJ,General Mariano Matamoros Airport
ACN,Ciudad Acuña New International Airport
CME,Ciudad del Carmen International Airport
NCG,Nuevo Casas Grandes Airport
CUL,Bachigualato Federal International Airport
CTM,Chetumal International Airport
CEN,Ciudad Obregón International Airport
CPE,Ingeniero Alberto Acuña Ongay International Airport
CJS,Abraham González International Airport
CUU,General Roberto Fierro Villalobos International Airport
CVM,General Pedro Jose Mendez International Airport
CZM,Cozumel International Airport
DGO,General Guadalupe Victoria International Airport
TPQ,Amado Nervo National Airport
ESE,Ensenada International Airport
GDL,Don Miguel Hidalgo Y Costilla International Airport
GYM,General José María Yáñez International Airport
TCN,Tehuacan Airport
HMO,General Ignacio P. Garcia International Airport
CLQ,Licenciado Miguel de la Madrid Airport
ISJ,Isla Mujeres Airport
SLW,Plan De Guadalupe International Airport
IZT,Ixtepec Airport
LZC,Lázaro Cárdenas Airport
LMM,Valle del Fuerte International Airport
BJX,Del Bajío International Airport
LAP,Manuel Márquez de León International Airport
LTO,Loreto International Airport
MAM,General Servando Canales International Airport
MID,Licenciado Manuel Crescencio Rejon Int Airport
MXL,General Rodolfo Sánchez Taboada International Airport
MLM,General Francisco J. Mujica International Airport
MTT,Minatitlán/Coatzacoalcos National Airport
LOV,Monclova International Airport
MEX,Licenciado Benito Juarez International Airport
MTY,General Mariano Escobedo International Airport
MZT,General Rafael Buelna International Airport
NOG,Nogales International Airport
NLD,Quetzalcóatl International Airport
OAX,Xoxocotlán International Airport
PAZ,El Tajín National Airport
PBC,Hermanos Serdán International Airport
PPE,Mar de Cortés International Airport
PDS,Piedras Negras International Airport
UPN,Licenciado y General Ignacio Lopez Rayon Airport
PVR,Licenciado Gustavo Díaz Ordaz International Airport
PXM,Puerto Escondido International Airport
QRO,Querétaro Intercontinental Airport
REX,General Lucio Blanco International Airport
SJD,Los Cabos International Airport
SFH,San Felipe International Airport
SLP,Ponciano Arriaga International Airport
TRC,Francisco Sarabia International Airport
TGZ,Angel Albino Corzo International Airport
TIJ,General Abelardo L. Rodríguez International Airport
TAM,General Francisco Javier Mina International Airport
TSL,Tamuin Airport
TLC,Licenciado Adolfo Lopez Mateos International Airport
TAP,Tapachula International Airport
CUN,Cancún International Airport
VSA,Carlos Rovirosa Pérez International Airport
VER,General Heriberto Jara International Airport
ZCL,General Leobardo C. Ruiz International Airport
ZIH,Ixtapa Zihuatanejo International Airport
ZMM,Zamora Airport
ZLO,Playa De Oro International Airport
BEF,Bluefields Airport
MGA,Augusto C. Sandino (Managua) International Airport
PUZ,Puerto Cabezas Airport
BOC,Bocas Del Toro International Airport
CHX,Cap Manuel Niño International Airport
DAV,Enrique Malek International Airport
BLB,Panama Pacific International Airport
PAC,Marcos A. Gelabert International Airport
SYP,Ruben Cantu Airport
PTY,Tocumen International Airport
BAI,Buenos Aires Airport
OTR,Coto 47 Airport
JAP,Chacarita Airport
GLF,Golfito Airport
GPL,Guapiles Airport
LIR,Daniel Oduber Quiros International Airport
LSL,Los Chiles Airport
LIO,Limon International Airport
NOB,Nosara Airport
SJO,Juan Santamaria International Airport
PMZ,Palmar Sur Airport
XQP,Quepos Managua Airport
TOO,San Vito De Java Airport
SAL,Monseñor Óscar Arnulfo Romero International Airport
CYA,Les Cayes Airport
CAP,Cap Haitien International Airport
JAK,Jacmel Airport
PAP,Toussaint Louverture International Airport
BCA,Gustavo Rizo Airport
BYM,Carlos Manuel de Cespedes Airport
AVI,Maximo Gomez Airport
CCC,Jardines Del Rey Airport
CFG,Jaime Gonzalez Airport
CYO,Vilo Acuña International Airport
CMW,Ignacio Agramonte International Airport
SCU,Antonio Maceo International Airport
NBW,Leeward Point Field
GAO,Mariana Grajales Airport
HAV,José Martí International Airport
HOG,Frank Pais International Airport
LCL,La Coloma Airport
MOA,Orestes Acosta Airport
MZO,Sierra Maestra Airport
GER,Rafael Cabrera Airport
UPB,Playa Baracoa Airport
QPD,Pinar Del Rio Airport
SNU,Abel Santamaria Airport
SZJ,Siguanea Airport
USS,Sancti Spiritus Airport
VRA,Juan Gualberto Gomez International Airport
VTU,Hermanos Ameijeiras Airport
CYB,Gerrard Smith International Airport
GCM,Owen Roberts International Airport
MAY,Clarence A. Bain Airport
ASD,Andros Town Airport
MHH,Leonard M Thompson International Airport
SAQ,San Andros Airport
AXP,Spring Point Airport
TCB,Treasure Cay Airport
CCZ,Chub Cay Airport
GHC,Great Harbour Cay Airport
BIM,South Bimini Airport
GGT,Exuma International Airport
ELH,North Eleuthera Airport
GHB,Governor's Harbour Airport
NMC,Normans Cay Airport
RSD,Rock Sound Airport
TYM,Staniel Cay Airport
FPO,Grand Bahama International Airport
IGA,Inagua Airport
LGI,Deadman's Cay Airport
SML,Stella Maris Airport
MYG,Mayaguana Airport
NAS,Lynden Pindling International Airport
DCT,Duncan Town Airport
RCY,Rum Cay Airport
ZSA,San Salvador Airport
BZE,Philip S. W. Goldson International Airport
AIT,Aitutaki Airport
RAR,Rarotonga International Airport
NAN,Nadi International Airport
SUV,Nausori International Airport
TBU,Fua'amotu International Airport
VAV,Vava'u International Airport
TRW,Bonriki International Airport
TBF,Tabiteuea North Airport
WLS,Hihifo Airport
APW,Faleolo International Airport
PPG,Pago Pago International Airport
RUR,Rurutu Airport
TUB,Tubuai Airport
AAA,Anaa Airport
FGU,Fangatau Airport
TIH,Tikehau Airport
REA,Reao Airport
FAV,Fakarava Airport
XMH,Manihi Airport
GMR,Totegegie Airport
KKR,Kaukura Airport
MKP,Makemo Airport
PKP,Puka Puka Airport
TKP,Takapoto Airport
AXR,Arutua Airport
MVT,Mataiva Airport
TKX,Takaroa Airport
NHV,Nuku Hiva Airport
BOB,Bora Bora Airport
RGI,Rangiroa Airport
HUH,Huahine-Fare Airport
MOZ,Moorea Airport
HOI,Hao Airport
MAU,Maupiti Airport
RFP,Raiatea Airport
VLI,Bauerfield International Airport
KNQ,Koné Airport
KOC,Koumac Airport
LIF,Lifou Airport
GEA,Nouméa Magenta Airport
MEE,Maré Airport
TOU,Touho Airport
UVE,Ouvéa Airport
NOU,La Tontouta International Airport
AKL,Auckland International Airport
TUO,Taupo Airport
AMZ,Ardmore Airport
CHC,Christchurch International Airport
CHT,Chatham Islands-Tuuta Airport
DUD,Dunedin Airport
GIS,Gisborne Airport
GTN,Glentanner Airport
HKK,Hokitika Airfield
HLZ,Hamilton International Airport
KKE,Kerikeri Airport
KAT,Kaitaia Airport
ALR,Alexandra Airport
MON,Mount Cook Airport
TEU,Manapouri Airport
MRO,Hood Airport
NPL,New Plymouth Airport
NSN,Nelson Airport
IVC,Invercargill Airport
OHA,RNZAF Base Ohakea
OAM,Oamaru Airport
PMR,Palmerston North Airport
PPQ,Paraparaumu Airport
ZQN,Queenstown International Airport
ROT,Rotorua Regional Airport
TRG,Tauranga Airport
TIU,Timaru Airport
TWZ,Pukaki Airport
BHE,Woodbourne Airport
WKA,Wanaka Airport
WHK,Whakatane Airport
WLG,Wellington International Airport
WIR,Wairoa Airport
WRE,Whangarei Airport
WSZ,Westport Airport
WAG,Wanganui Airport
HEA,Herat Airport
JAA,Jalalabad Airport
KBL,Hamid Karzai International Airport
KDH,Kandahar Airport
MMZ,Maimana Airport
MZR,Mazar I Sharif Airport
OAH,Shindand Airport
UND,Konduz Airport
BAH,Bahrain International Airport
AHB,Abha Regional Airport
HOF,Al Ahsa Airport
ABT,Al Baha Airport
BHH,Bisha Airport
DMM,King Fahd International Airport
DHA,King Abdulaziz Air Base
GIZ,Jizan Regional Airport
ELQ,Gassim Airport
URY,Gurayat Domestic Airport
HAS,Ha'il Airport
QJB,Jubail Airport
JED,King Abdulaziz International Airport
KMC,King Khaled Military City Airport
MED,Prince Mohammad Bin Abdulaziz Airport
EAM,Nejran Airport
AQI,Al Qaisumah/Hafr Al Batin Airport
RAH,Rafha Domestic Airport
RUH,King Khaled International Airport
RAE,Arar Domestic Airport
SHW,Sharurah Airport
SLF,Sulayel Airport
TUU,Tabuk Airport
TIF,Ta’if Regional Airport
TUI,Turaif Domestic Airport
EJH,Al Wajh Domestic Airport
YNB,Prince Abdulmohsin Bin Abdulaziz Airport
ABD,Abadan Airport
DEF,Dezful Airport
AKW,Aghajari Airport
GCH,Gachsaran Airport
OMI,Omidiyeh Airport
MRX,Mahshahr Airport
AWZ,Ahwaz Airport
AEU,Abu Musa Island Airport
BUZ,Bushehr Airport
KIH,Kish International Airport
BDH,Bandar Lengeh Airport
KHK,Khark Island Airport
SXI,Sirri Island Airport
LVP,Lavan Island Airport
KSH,Shahid Ashrafi Esfahani Airport
SDG,Sanandaj Airport
IFH,Hesa Airport
KKS,Kashan Airport
IFN,Esfahan Shahid Beheshti International Airport
RAS,Sardar-e-Jangal Airport
AJK,Arak Airport
THR,Mehrabad International Airport
GZW,Qazvin Airport
BND,Bandar Abbas International Airport
JYR,Jiroft Airport
KER,Kerman Airport
HDR,Havadarya Airport
SYJ,Sirjan Airport
XBJ,Birjand Airport
CKT,Sarakhs Airport
RUD,Shahroud Airport
TCX,Tabas Airport
KLM,Kalaleh Airport
RZR,Ramsar Airport
FAZ,Fasa Airport
JAR,Jahrom Airport
LFM,Lamerd Airport
SYZ,Shiraz Shahid Dastghaib International Airport
KHY,Khoy Airport
TBZ,Tabriz International Airport
JWN,Zanjan Airport
AZD,Shahid Sadooghi Airport
ACZ,Zabol Airport
ZBR,Konarak Airport
ZAH,Zahedan International Airport
IHR,Iran Shahr Airport
AMM,Queen Alia International Airport
ADJ,Amman-Marka International Airport
AQJ,Aqaba King Hussein International Airport
OMF,King Hussein Air College
KWI,Kuwait International Airport
BEY,Beirut Rafic Hariri International Airport
KYE,Rene Mouawad Air Base
AUH,Abu Dhabi International Airport
AZI,Bateen Airport
DHF,Al Dhafra Air Base
DXB,Dubai International Airport
FJR,Fujairah International Airport
RKT,Ras Al Khaimah International Airport
SHJ,Sharjah International Airport
KHS,Khasab Air Base
MSH,Masirah Air Base
MCT,Muscat International Airport
SLL,Salalah Airport
TTH,Thumrait Air Base
BHW,Bhagatanwala Airport
LYP,Faisalabad International Airport
GWD,Gwadar International Airport
GIL,Gilgit Airport
JAG,Shahbaz Air Base
KHI,Jinnah International Airport
LHE,Alama Iqbal International Airport
XJM,Mangla Airport
MFG,Muzaffarabad Airport
MWD,Mianwali Air Base
MJD,Moenjodaro Airport
MUX,Multan International Airport
WNS,Shaheed Benazirabad Airport
PJG,Panjgur Airport
PSI,Pasni Airport
PEW,Peshawar International Airport
UET,Quetta International Airport
RYK,Shaikh Zaid Airport
RAZ,Rawalakot Airport
SKZ,Sukkur Airport
SDT,Saidu Sharif Airport
SUL,Sui Airport
BDN,Talhar Airport
WAF,Wana Airport
PZH,Zhob Airport
BSR,Basrah International Airport
ALP,Aleppo International Airport
DAM,Damascus International Airport
DEZ,Deir ez-Zor Air Base
LTK,Bassel Al-Assad International Airport
PMS,Palmyra Airport
DIA,Doha International Airport
CIS,Canton Island Airport
ROP,Rota International Airport
SPN,Saipan International Airport
UAM,Andersen Air Force Base
GUM,Antonio B. Won Pat International Airport
TIQ,Tinian International Airport
MAJ,Marshall Islands International Airport
KWA,Bucholz Army Air Field
CXI,Cassidy International Airport
MDY,Henderson Field
TKK,Chuuk International Airport
PNI,Pohnpei International Airport
ROR,Babelthuap Airport
KSA,Kosrae International Airport
YAP,Yap International Airport
KNH,Kinmen Airport
TTT,Taitung Airport
GNI,Lyudao Airport
KHH,Kaohsiung International Airport
CYI,Chiayi Airport
KYD,Lanyu Airport
RMQ,Taichung Ching Chuang Kang Airport
TNN,Tainan Airport
HSZ,Hsinchu Air Base
MZG,Makung Airport
PIF,Pingtung North Airport
TSA,Taipei Songshan Airport
TPE,Taiwan Taoyuan International Airport
WOT,Wang-an Airport
HUN,Hualien Airport
NRT,Narita International Airport
MMJ,Matsumoto Airport
IBR,Hyakuri Airport
MUS,Minami Torishima Airport
IWO,Iwo Jima Airport
SHM,Nanki Shirahama Airport
OBO,Tokachi-Obihiro Airport
CTS,New Chitose Airport
HKD,Hakodate Airport
MMB,Memanbetsu Airport
SHB,Nakashibetsu Airport
WKJ,Wakkanai Airport
IKI,Iki Airport
UBJ,Yamaguchi Ube Airport
TSJ,Tsushima Airport
MBE,Monbetsu Airport
AKJ,Asahikawa Airport
OIR,Okushiri Airport
RIS,Rishiri Airport
KUM,Yakushima Airport
FUJ,Fukue Airport
FUK,Fukuoka Airport
TNE,New Tanegashima Airport
KOJ,Kagoshima Airport
KMI,Miyazaki Airport
OIT,Oita Airport
KKJ,Kitakyūshū Airport
KMJ,Kumamoto Airport
NGS,Nagasaki Airport
ASJ,Amami Airport
OKE,Okierabu Airport
TKN,Tokunoshima Airport
FKJ,Fukui Airport
QGU,Gifu Airport
KMQ,Komatsu Airport
OKI,Oki Airport
TOY,Toyama Airport
HIJ,Hiroshima Airport
OKJ,Okayama Airport
IZO,Izumo Airport
YGJ,Miho Yonago Airport
KCZ,Kōchi Ryōma Airport
MYJ,Matsuyama Airport
ITM,Osaka International Airport
TTJ,Tottori Airport
TKS,Tokushima Airport/JMSDF Air Base
TAK,Takamatsu Airport
AOJ,Aomori Airport
GAJ,Yamagata Airport
SDS,Sado Airport
HHE,Hachinohe Airport
HNA,Hanamaki Airport
AXT,Akita Airport
MSJ,Misawa Air Base
SDJ,Sendai Airport
NJA,Atsugi Naval Air Facility
HAC,Hachijojima Airport
OIM,Oshima Airport
HND,Tokyo Haneda International Airport
OKO,Yokota Air Base
KWJ,Gwangju Airport
CHN,Jeon Ju Airport (G-703)
RSU,Yeosu Airport
KAG,Gangneung Airport (K-18)
CJU,Jeju International Airport
CHF,Jinhae Airbase/Airport (G-813/K-10)
PUS,Gimhae International Airport
USN,Ulsan Airport
SSN,Seoul Air Base (K-16)
OSN,Osan Air Base
GMP,Gimpo International Airport
SWU,Suwon Airport
KPO,Pohang Airport (G-815/K-3)
TAE,Daegu Airport
YEC,Yecheon Airbase
OKA,Naha Airport
DNA,Kadena Air Base
ISG,New Ishigaki Airport
UEO,Kumejima Airport
MMD,Minami-Daito Airport
MMY,Miyako Airport
KTD,Kitadaito Airport
SHI,Shimojishima Airport
TRA,Tarama Airport
RNJ,Yoron Airport
OGN,Yonaguni Airport
MNL,Ninoy Aquino International Airport
CBO,Awang Airport
PAG,Pagadian Airport
GES,General Santos International Airport
ZAM,Zamboanga International Airport
BAG,Loakan Airport
DTE,Daet Airport
SJI,San Jose Airport
MBO,Mamburao Airport
BQA,Dr.Juan C. Angara Airport
TAC,Daniel Z. Romualdez Airport
BCD,Bacolod-Silay Airport
DGT,Sibulan Airport
MPH,Godofredo P. Ramos Airport
ILO,Iloilo International Airport
KLO,Kalibo International Airport
PPS,Puerto Princesa Airport
EUQ,Evelio Javier Airport
COC,Comodoro Pierrestegui Airport
GHU,Gualeguaychu Airport
JNI,Junin Airport
PRA,General Urquiza Airport
ROS,Islas Malvinas Airport
SFN,Sauce Viejo Airport
AEP,Jorge Newbery Airpark
COR,Ingeniero Ambrosio Taravella Airport
FDO,San Fernando Airport
LPG,La Plata Airport
EPA,El Palomar Airport
HOS,Chos Malal Airport
GNR,Dr. Arturo H. Illia Airport
MDZ,El Plumerillo Airport
LGS,Comodoro D.R. Salomón Airport
