let,linija,letalo,karta
II987,GGIH,486,0.838
II798,HGII,856,0.549
IE989,HIII,581,0.935
IH999,IGIH,874,0.678
II988,IGIG,546,0.537
II997,IEIG,993,0.389
FI989,IIEI,599,0.26
FH897,GFII,765,0.112
II898,IFII,937,0.074
GG989,GGGG,867,0.22
GI597,GIHI,514,0.826
II974,IFIF,118,0.392
EG999,IHFG,640,0.557
GI998,GIGI,530,0.011
II992,GIII,927,0.352
IG899,GEII,790,0.68
DH899,GIII,400,0.0
IH975,IHIH,659,0.179
IF988,GGGD,265,0.114
GI899,GIII,869,0.919
IG988,GAGI,871,0.386
GH988,DEFI,900,0.162
II897,DIFH,48,0.541
GH998,HIII,455,0.091
II898,IIII,672,0.35
GH999,IHII,172,0.986
IF858,IHII,492,0.799
IF998,IIII,527,0.582
GI989,GCHI,444,0.451
GH789,HIGE,943,0.253
IF991,GIIG,855,0.422
II968,FIGI,517,0.628
IG998,IHIG,931,0.294
GI599,GHHG,300,0.958
II998,IFIF,73,0.385
II799,IGGI,775,0.495
